Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-2423.096	-2500.003	76.90755	0.8616763	4.157211
6	-2428.433	-2505.424	76.99035	0.8432127	4.120623
12	-2429.67	-2506.445	76.77513	0.8637725	4.231195
18	-2426.841	-2503.972	77.13111	0.8928338	4.012086
24	-2429.51	-2505.911	76.40121	0.6239193	4.577404
30	-2439.167	-2515.692	76.52479	0.7601373	4.431287
36	-2439.296	-2516.427	77.13081	0.9724576	3.966744
42	-2435.511	-2511.992	76.4808	0.8061157	4.430164
48	-2433.146	-2509.298	76.15237	0.7659698	4.637302
54	-2427.388	-2504.094	76.70524	0.8664327	4.26929
60	-2425.914	-2502.829	76.91536	0.9261191	4.116117
66	-2425.247	-2501.391	76.14374	0.8497419	4.595163
72	-2427.254	-2503.86	76.60619	0.8183947	4.352485
78	-2434.191	-2509.241	75.05015	0.7535615	5.257364
84	-2438.081	-2514.393	76.3115	0.7860597	4.536724
90	-2426.789	-2503.432	76.64255	0.8204459	4.330778
96	-2422.269	-2498.624	76.35495	0.7812025	4.515031
102	-2425.927	-2502.183	76.25544	0.7013463	4.615749
108	-2425.131	-2502.158	77.02742	0.9441738	4.041971
114	-2428.452	-2505.52	77.06791	0.6254569	4.200296
120	-2427.027	-2503.666	76.63894	0.7389407	4.378857
126	-2427.909	-2504.154	76.24547	0.7455544	4.596546
132	-2427.963	-2503.788	75.82468	0.7582436	4.824831
138	-2435.723	-2511	75.27756	0.8419878	5.082534
144	-2435.201	-2510.934	75.73357	0.8141577	4.84446
150	-2437.966	-2513.533	75.56674	0.5561191	5.0807
156	-2439.359	-2514.703	75.34429	0.7329536	5.105988
162	-2433.574	-2510.094	76.52039	0.9061115	4.3514
168	-2432.633	-2507.933	75.29959	0.7777767	5.105923
174	-2435.474	-2511.088	75.61395	0.6814758	4.984899
180	-2428.039	-2505.439	77.39996	0.8971488	3.855615
186	-2427.333	-2503.87	76.53718	0.7072979	4.454073
192	-2431.772	-2508.133	76.36125	0.6077319	4.608907
198	-2434.962	-2511.874	76.91245	0.7304366	4.228937
204	-2446.1	-2523.332	77.23192	0.8177065	3.997414
210	-2444.679	-2521.927	77.24838	0.801248	3.997414
216	-2437.974	-2514.341	76.36756	0.7790002	4.509181
222	-2437.512	-2513.66	76.14781	0.7471261	4.650414
228	-2432.312	-2509.1	76.788	0.7457347	4.290771
234	-2431.44	-2508.371	76.9317	0.896713	4.123556
240	-2427.286	-2504.387	77.10038	0.7280327	4.123556
246	-2431.779	-2508.273	76.49367	0.744296	4.457741
252	-2431.029	-2508.225	77.19638	0.93736	3.949305
258	-2439.55	-2514.85	75.30027	0.8419757	5.069943
264	-2440.385	-2516.96	76.57468	0.7909445	4.385777
270	-2450.332	-2526.628	76.29649	0.6871824	4.60067
276	-2445.255	-2521.569	76.31407	0.669603	4.60067
282	-2445.558	-2522.174	76.61547	0.7016081	4.413158
288	-2432.003	-2508.272	76.26896	0.7294572	4.592393
294	-2427.656	-2504.543	76.88717	0.8430663	4.179367
300	-2435.304	-2511.028	75.72379	0.7519805	4.884555
306	-2426.115	-2502.633	76.51801	0.8050923	4.409763
312	-2431.589	-2507.766	76.17777	0.8122725	4.597095
318	-2439.938	-2516.468	76.53087	0.7690861	4.422812
324	-2438.453	-2516.145	77.69213	0.8277677	3.727295
330	-2443.657	-2521.233	77.57589	0.9440142	3.727295
336	-2440.934	-2518.225	77.2909	0.7698764	3.991039
342	-2437.457	-2514.754	77.29771	0.9900954	3.860959
348	-2439.411	-2516.876	77.4648	1.007797	3.754595
354	-2433.845	-2511.672	77.8272	1.001676	3.548183
360	-2435.304	-2513.231	77.92674	1.012866	3.483639
366	-2435.485	-2511.86	76.37533	0.8506757	4.464476
372	-2441.392	-2518.907	77.51426	1.225306	3.600102
378	-2439.935	-2518.58	78.64552	0.9702435	3.084757
384	-2431.909	-2508.746	76.83675	0.9723231	4.134556
390	-2436.573	-2513.499	76.92644	0.8457781	4.155513
396	-2433.973	-2510.835	76.86219	0.9100281	4.155513
402	-2434.535	-2511.543	77.00855	0.7907097	4.140136
408	-2442.293	-2518.165	75.87193	0.8725554	4.734613
414	-2437.598	-2514.61	77.01184	0.5658384	4.265888
420	-2427.262	-2503.437	76.17532	0.6517855	4.688394
426	-2427.044	-2503.89	76.84566	0.8815279	4.181096
432	-2432.467	-2508.79	76.32253	0.824907	4.50869
438	-2432.571	-2508.278	75.70727	0.6074243	4.974187
444	-2431.03	-2506.89	75.85993	0.5822146	4.903286
450	-2427.905	-2504.548	76.64295	0.6772808	4.411384
456	-2420.586	-2497.23	76.64437	0.8672565	4.303278
462	-2429.665	-2506.078	76.41357	0.6031927	4.582099
468	-2428.084	-2504.368	76.28482	0.7319473	4.582099
474	-2427.385	-2502.146	74.76112	0.7190994	5.435798
480	-2425	-2500.455	75.45506	0.7861811	5.014999
486	-2430.825	-2506.034	75.20882	0.700691	5.198866
492	-2428.998	-2505.476	76.47787	0.9157962	4.369945
498	-2440.926	-2516.825	75.89842	0.8377777	4.739241
504	-2436.107	-2512.101	75.9934	0.7285142	4.747229
510	-2430.328	-2507.861	77.53286	0.9830621	3.729592
516	-2431.466	-2508.625	77.15948	0.8894638	3.997807
522	-2425.108	-2502.374	77.26545	0.8230931	3.975163
528	-2423.503	-2499.525	76.02149	0.8230931	4.678615
534	-2423.92	-2500.911	76.99101	0.8329708	4.126075
540	-2425.684	-2503.061	77.37623	0.8395091	3.902317
546	-2421.264	-2498.567	77.30306	0.8126223	3.959639
552	-2425.703	-2502.982	77.27939	0.8179486	3.970136
558	-2425.722	-2502.308	76.5868	0.78634	4.381532
564	-2425.329	-2502.96	77.63104	0.8932584	3.724756
570	-2427.209	-2504.198	76.98901	0.9100077	4.083355
576	-2419.356	-2495.795	76.43917	0.7390498	4.491373
582	-2425.303	-2502.121	76.81818	0.5726336	4.371558
588	-2424.574	-2501.874	77.30002	0.7702257	3.985625
