Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	tree_length
0	-2428.666	-2505.278	76.61146	0.00815359	0.143884	0.120141	0.0910422	0.143953	0.00972254	0.0185571	0.0311469	0.0188176	0.0239822	0.0672832	0.00093409	0.0403048	0.0457569	0.0668196	0.113616	0.0582758	0.11228	0.0366797	0.0783336	0.100768	0.0308526	0.068506	0.159373	0.157909	0.0821796	0.0855098	0.00785852	0.16007	0.0580094	0.0975911	0.0214443	0.0221997	0.108627	0.00566768	0.128242	0.0497245	0.169149	0.0454973	0.111449	0.10172	0.146396	0.0775574	0.0572417	0.163499	0.07678	0.0680094	0.0714952	0.135281	0.0139192	0.0823781	0.123918	0.0294553	0.183347	0.0756866	0.290591	0.54732	0.828583	1.20688	1.82708	3.44126	0.8935961	0.0018931	0.033407	0.0278944	0.0211382	0.0334231	0.00225738	0.0043086	0.0072317	0.00436909	0.00556821	0.0156219	0.000216877	0.00935799	0.0106239	0.0155142	0.0263794	0.0135305	0.0260691	0.00851631	0.0181875	0.0233963	0.00716338	0.0159058	0.0370033	0.0366635	0.0190805	0.0198537	0.0018246	0.0371652	0.0134687	0.0226587	0.00497894	0.00515433	0.0252211	0.00131592	0.0297754	0.0115451	0.039273	0.0105636	0.0258763	0.0236174	0.0339902	0.0180073	0.0132904	0.0379612	0.0178268	0.0157905	0.0165998	0.0314096	0.00323176	0.0191266	0.0287714	0.00683894	0.0425697	0.0175729	4.306995
36	-2434.946	-2511.276	76.33023	0.0136541	0.101842	0.171772	0.0635183	0.162846	0.0508283	0.0234286	0.00845473	0.0577755	0.0194468	0.138933	0.00095788	0.0374681	0.023531	0.124982	0.0446932	0.0115638	0.084471	0.0789024	0.0611449	0.0969805	0.0177022	0.0384328	0.134731	0.0906303	0.0790234	0.0863969	0.00527535	0.161595	0.0049323	0.0973419	0.0639024	0.0261833	0.110736	0.0772355	0.167497	0.133969	0.249553	0.0366098	0.169304	0.0542109	0.0527467	0.193955	0.0359472	0.110822	0.0197365	0.0987437	0.0950104	0.0582903	0.0195051	0.0520682	0.181672	0.106275	0.131433	0.12177	0.286852	0.543874	0.826952	1.20926	1.83866	3.48612	0.9029607	0.00306116	0.0228324	0.0385102	0.0142404	0.0365089	0.0113954	0.00525253	0.0018955	0.0129529	0.00435986	0.0311479	0.00021475	0.0084001	0.00527551	0.0280202	0.0100199	0.00259254	0.0189379	0.0176894	0.0137083	0.0217424	0.00396871	0.0086164	0.0302058	0.0203187	0.0177165	0.0193696	0.0011827	0.0362286	0.00110579	0.0218234	0.0143265	0.00587012	0.0248262	0.0173157	0.0375518	0.0300349	0.0559481	0.00820769	0.0379569	0.0121537	0.0118255	0.0434835	0.00805913	0.0248455	0.0044248	0.0221377	0.0213007	0.0130683	0.00437292	0.0116734	0.0407297	0.0238262	0.0294664	0.0273001	4.460431
72	-2434.108	-2510.578	76.46982	0.0496732	0.0798621	0.10322	0.0525352	0.180364	0.0619082	0.00226455	0.0178689	0.0371784	0.0655784	0.133411	0.00193079	0.0285857	0.0234168	0.0800664	0.0463891	0.0721163	0.185988	0.0407748	0.0602314	0.09449	0.000508885	0.00275926	0.160234	0.0906901	0.0990858	0.0844796	0.0172374	0.131943	0.0344177	0.177504	0.013771	0.0981966	0.0436948	0.0558909	0.19168	0.112385	0.30002	0.100697	0.117852	0.100883	0.0671554	0.0732487	0.00519673	0.159017	0.021664	0.105953	0.167742	0.0569836	0.0369164	0.00586884	0.0703772	0.0119887	0.138567	0.11588	0.291533	0.548185	0.828991	1.20629	1.8242	3.43014	0.8912552	0.0113193	0.0181987	0.0235214	0.0119715	0.0411007	0.0141074	0.000516037	0.00407191	0.00847209	0.0149438	0.0304012	0.000439982	0.006514	0.00533613	0.0182452	0.010571	0.0164336	0.0423823	0.00929162	0.0137253	0.021532	0.000115963	0.00062877	0.0365135	0.0206661	0.0225793	0.0192509	0.003928	0.0300667	0.00784298	0.040449	0.00313808	0.0223767	0.00995703	0.0127362	0.0436793	0.0256099	0.0683676	0.0229466	0.0268558	0.0229888	0.0153031	0.0166917	0.00118421	0.0362362	0.00493673	0.0241443	0.0382244	0.0129852	0.00841239	0.00133737	0.0160373	0.00273193	0.0315762	0.0264063	4.388343
108	-2421.087	-2498.532	77.44564	0.072033	0.0686886	0.109818	0.0604626	0.0773816	0.00391682	0.00669212	0.0745006	0.0277726	0.0315311	0.123894	0.000446685	0.0307962	0.0187837	0.119949	0.0736226	0.0967294	0.084528	0.0521635	0.0762852	0.0850223	0.0108208	0.0592343	0.133446	0.0946967	0.0516099	0.056419	0.00402322	0.109784	0.013709	0.0156331	0.014977	0.0613442	0.173886	0.0655868	0.115366	0.0992939	0.0885044	0.0612337	0.0625199	0.160572	0.144408	0.0244308	0.0377083	0.0416696	0.0503514	0.0796384	0.0198412	0.0235389	0.0927643	0.0559458	0.0999524	0.16875	0.14672	0.0926464	0.286873	0.543893	0.826961	1.20925	1.8386	3.48587	0.9029086	0.018827	0.0179529	0.0287028	0.0158029	0.0202249	0.00102373	0.0017491	0.019472	0.00725882	0.00824116	0.0323818	0.000116748	0.00804909	0.00490942	0.0313507	0.0192425	0.0252818	0.0220928	0.0136338	0.0199384	0.022222	0.00282819	0.0154819	0.0348783	0.0247506	0.0134891	0.014746	0.00105153	0.028694	0.00358308	0.00408596	0.00391449	0.0160333	0.0454481	0.0171422	0.0301529	0.0259521	0.0231321	0.0160044	0.0163406	0.0419682	0.0377434	0.0063854	0.00985567	0.010891	0.0131602	0.0208148	0.00518582	0.00615228	0.0242455	0.0146224	0.0261242	0.0441056	0.0383478	0.0242147	3.826045
144	-2439.487	-2515.678	76.19095	0.0090961	0.110291	0.167645	0.0548694	0.0727563	0.0135208	0.0358558	0.0985251	0.074896	0.00286978	0.131692	0.0124917	0.0243521	0.0439276	0.0575643	0.159861	0.0324119	0.0281829	0.0994458	0.0981741	0.0773191	0.0172589	0.0335573	0.182116	0.0641761	0.109111	0.0889797	0.00762666	0.219035	0.200052	0.116266	0.0486465	0.0874358	0.00522156	0.0886078	0.011941	0.105569	0.100471	0.0157334	0.0460836	0.0812683	0.0372286	0.111136	0.149	0.0344477	0.0586946	0.0883271	0.223897	0.116388	0.113159	0.0312716	0.0181239	0.168783	0.148491	0.136533	0.24245	0.501047	0.80606	1.2406	1.99582	4.12457	1.02456	0.00203475	0.0246714	0.0375013	0.012274	0.0162752	0.00302453	0.00802073	0.0220395	0.0167538	0.000641953	0.0294587	0.00279432	0.00544742	0.00982636	0.0128768	0.03576	0.00725037	0.00630435	0.0222455	0.021961	0.0172959	0.00386072	0.00750657	0.0407382	0.0143558	0.0244075	0.0199043	0.00170604	0.048997	0.0447506	0.0260081	0.0108819	0.0195589	0.00116803	0.0198211	0.00267113	0.0236152	0.0224747	0.00351948	0.0103086	0.0181793	0.00832783	0.0248604	0.0333303	0.00770576	0.0131296	0.0197583	0.0500845	0.0260354	0.0253131	0.00699529	0.00405422	0.0377558	0.0332167	0.0305418	4.470385
180	-2431.524	-2507.608	76.08433	0.00992804	0.0853228	0.113354	0.0731986	0.229824	0.00844972	0.0082697	0.0174018	0.0295341	0.0133192	0.142902	0.00526868	0.0266676	0.0594244	0.0877964	0.0947972	0.0653176	0.148541	0.0452614	0.106613	0.0990104	0.010922	0.0567294	0.11935	0.0432837	0.132413	0.100729	0.015143	0.150864	0.290495	0.258557	0.0309538	0.0468384	0.0710298	0.0635802	0.0527224	0.026908	0.0115203	0.0662576	0.112726	0.0933019	0.0964317	0.0729609	0.0233591	0.0651538	0.0821971	0.0681989	0.177973	0.0310131	0.165191	0.0743796	0.0227966	0.213635	0.143227	0.173927	0.313744	0.56817	0.838304	1.19288	1.76004	3.18732	0.8381665	0.00214199	0.0184085	0.0244562	0.0157927	0.0495848	0.00182304	0.0017842	0.00375446	0.00637201	0.00287364	0.0308312	0.00113672	0.00575357	0.0128209	0.0189422	0.0204526	0.0140924	0.032048	0.0097652	0.0230019	0.0213616	0.00235644	0.0122394	0.0257499	0.00933851	0.0285682	0.0217325	0.00326713	0.0325491	0.0626746	0.0557839	0.00667832	0.0101054	0.0153248	0.0137175	0.0113749	0.00580544	0.00248551	0.0142952	0.0243208	0.02013	0.0208053	0.0157414	0.00503975	0.014057	0.0177341	0.014714	0.0383978	0.0066911	0.0356402	0.0160475	0.0049184	0.0460921	0.0309014	0.0375249	4.63497
216	-2434.395	-2510.546	76.15125	0.0383137	0.101199	0.0697976	0.0831273	0.136994	0.00148824	0.0346763	0.049664	0.00817271	0.0301266	0.228732	0.0108068	0.0237053	0.0360094	0.12259	0.0428453	0.0855211	0.166024	0.0284546	0.0736818	0.0818332	0.0114069	0.0255394	0.10118	0.159359	0.114428	0.0787738	0.00483288	0.189573	0.132733	0.164394	0.0501318	0.0516971	0.0691351	0.109065	0.0312064	0.0227428	0.0096544	0.0933342	0.158665	0.0645485	0.104752	0.117788	0.0168356	0.0500383	0.170774	0.0894046	0.106497	0.0467203	0.0227423	0.0429966	0.0919412	0.248827	0.192056	0.184835	0.302303	0.557969	0.83358	1.19965	1.79221	3.30794	0.8650261	0.00836111	0.0220845	0.0152318	0.0181407	0.029896	0.000324775	0.00756732	0.010838	0.00178351	0.00657445	0.0499156	0.00235835	0.00517316	0.00785824	0.0267525	0.00935003	0.0186631	0.036231	0.00620958	0.0160794	0.0178583	0.0024893	0.0055734	0.0220803	0.0347765	0.0249713	0.0171906	0.00105467	0.04137	0.028966	0.0358753	0.0109401	0.0112817	0.0150872	0.023801	0.00681009	0.0049631	0.00210686	0.0203681	0.034625	0.0140863	0.0228599	0.0257047	0.00367399	0.0109197	0.0372677	0.0195105	0.0232406	0.0101957	0.00496299	0.00938304	0.0200641	0.054301	0.0419119	0.0403361	4.582373
252	-2431.842	-2509.042	77.20027	0.0474373	0.0807078	0.0640335	0.124352	0.03746	0.0130045	0.0953626	0.0262727	0.039306	0.0181323	0.0504635	0.0237074	0.0349048	0.0168763	0.0671161	0.0583455	0.0219534	0.14589	0.0314885	0.0528845	0.0688771	0.0492395	0.0824753	0.121669	0.0614044	0.0473513	0.070697	0.0107425	0.0988644	0.24212	0.167503	0.0272865	0.10115	0.0650838	0.0946297	0.0130196	0.0620778	7.28034e-05	0.107592	0.121051	0.11386	0.0534508	0.104373	0.0690312	0.00311171	0.0484667	0.0546922	0.127096	0.0307898	0.113114	0.0163786	0.00918792	0.152386	0.219527	0.16186	0.268843	0.526945	0.818834	1.22125	1.89773	3.71964	0.949842	0.0120401	0.0204846	0.0162525	0.0315619	0.00950779	0.00330071	0.0242041	0.00666831	0.00997631	0.00460218	0.0128082	0.00601722	0.00885926	0.00428342	0.0170349	0.0148088	0.00557203	0.0370285	0.00799215	0.0134227	0.0174818	0.0124976	0.0209332	0.0308809	0.0155852	0.0120183	0.0179437	0.00272658	0.025093	0.061453	0.0425142	0.00692564	0.025673	0.016519	0.0240181	0.00330453	0.0157561	1.84784e-05	0.027308	0.0307241	0.028899	0.0135664	0.026491	0.0175209	0.000789787	0.0123014	0.0138815	0.0322583	0.00781481	0.0287097	0.00415707	0.002332	0.0386773	0.0557186	0.0410821	3.939928
288	-2429.768	-2505.994	76.22618	0.0179268	0.121265	0.121644	0.0392108	0.0790963	0.0209063	0.0474144	0.0428206	0.0349213	0.0364555	0.105479	0.0260352	0.0139744	0.0133644	0.0977735	0.112262	0.0501422	0.102736	0.091775	0.0456782	0.110393	0.0218256	0.0698097	0.0942355	0.150284	0.0945278	0.0816334	0.0217244	0.17858	0.143855	0.197894	0.0486286	0.14057	0.0271046	0.0516748	0.0348541	0.037007	0.000520829	0.126239	0.0370082	0.136605	0.0977187	0.0683079	0.106167	0.0171228	0.108688	0.163665	0.100817	0.0360043	0.0820112	0.0876707	0.0274363	0.2787	0.285239	0.142388	0.375046	0.61984	0.861381	1.16093	1.61332	2.66634	0.7091184	0.00387374	0.0262037	0.0262855	0.00847289	0.0170916	0.00451756	0.0102456	0.00925292	0.00754599	0.00787752	0.0227926	0.00562583	0.00301967	0.00288785	0.0211275	0.0242583	0.010835	0.0221998	0.0198313	0.0098704	0.0238543	0.00471621	0.0150849	0.020363	0.0324743	0.0204261	0.0176398	0.00469433	0.0385887	0.0310849	0.0427621	0.0105079	0.0303752	0.00585692	0.0111662	0.00753148	0.00799669	0.000112544	0.0272785	0.00799695	0.0295184	0.0211156	0.0147604	0.0229411	0.00369999	0.023486	0.0353656	0.0217852	0.00778001	0.0177214	0.0189444	0.00592859	0.0602231	0.0616362	0.0307679	4.627793
324	-2429.145	-2506.323	77.17781	0.0246986	0.18866	0.0607138	0.10126	0.0923462	0.0197884	0.00590013	0.0573784	0.00918681	0.00792676	0.190078	0.00805872	0.0464498	0.0524041	0.0925658	0.118792	0.07804	0.112954	0.0740873	0.0507644	0.106317	0.00361829	0.027947	0.0856392	0.0993586	0.144948	0.0877663	0.00688816	0.179636	0.0841085	0.0959122	0.027723	0.121889	0.0256027	0.046728	0.0268499	0.189741	0.00290453	0.0650681	0.0232847	0.0868944	0.0453911	0.0776415	0.0472882	0.0780846	0.102113	0.0749056	0.121244	0.0154595	0.0179906	0.0273614	0.0386675	0.0929924	0.190648	0.172482	0.326547	0.579362	0.843422	1.18565	1.72604	3.06235	0.809245	0.0061239	0.0467774	0.0150537	0.025107	0.0228968	0.00490644	0.00146291	0.0142267	0.00227783	0.0019654	0.0471288	0.00199812	0.011517	0.0129933	0.0229512	0.0294539	0.0193497	0.0280063	0.0183696	0.0125868	0.0263608	0.000897139	0.00692934	0.0212338	0.0246355	0.0359392	0.0217612	0.00170789	0.0445398	0.0208543	0.023781	0.00687379	0.0302219	0.00634807	0.011586	0.00665731	0.0470455	0.000720166	0.0161333	0.00577334	0.0215451	0.0112545	0.0192509	0.0117249	0.0193607	0.0253184	0.0185725	0.0300619	0.00383311	0.0044607	0.00678414	0.00958742	0.023057	0.0472703	0.0427662	4.033148
